step,local,wip,remote
47,6,3,639
47,6,3,639
48,0,0,666
48,0,0,666
48,0,0,666
48,0,0,666
48,0,0,666
49,3,1,666
49,3,1,666
49,3,1,666
49,3,1,666
49,3,1,666
50,6,2,675
50,6,2,675
50,6,2,675
50,6,2,675
50,6,2,675
51,9,0,693
51,9,0,693
51,9,0,693
51,9,0,693
51,9,0,693
52,0,2,720
52,0,2,720
52,0,2,720
52,0,2,720
52,0,2,720
53,3,3,720
53,3,3,720
53,3,3,720
53,3,3,720
53,3,3,720
54,9,0,738
54,9,0,738
54,9,0,738
54,9,0,738
54,9,0,738
55,0,3,756
55,0,3,756
55,0,3,756
55,0,3,756
55,0,3,756
56,6,0,765
56,6,0,765
56,6,0,765
56,6,0,765
56,6,0,765
57,9,0,774
57,9,0,774
57,9,0,774
57,9,0,774
57,9,0,774
58,0,1,801
58,0,1,801
58,0,1,801
58,0,1,801
58,0,1,801
59,3,2,810
59,3,2,810
59,3,2,810
59,3,2,810
59,3,2,810
60,6,3,819
60,6,3,819
60,6,3,819
60,6,3,819
60,6,3,819
61,0,0,846
61,0,0,846
61,0,0,846
61,0,0,846
61,0,0,846
62,3,1,855
62,3,1,855
62,3,1,855
62,3,1,855
62,3,1,855
63,6,2,864
63,6,2,864
63,6,2,864
63,6,2,864
63,6,2,864
64,0,1,891
64,0,1,891
64,0,1,891
64,0,1,891
64,0,1,891
65,3,2,891
65,3,2,891
65,3,2,891
65,3,2,891
65,3,2,891
66,6,3,900
66,6,3,900
66,6,3,900
66,6,3,900
66,6,3,900
67,0,0,927
67,0,0,927
67,0,0,927
67,0,0,927
67,0,0,927
68,3,1,936
68,3,1,936
68,3,1,936
68,3,1,936
68,3,1,936
69,6,2,945
69,6,2,945
69,6,2,945
69,6,2,945
69,6,2,945
70,9,0,954
70,9,0,954
70,9,0,954
70,9,0,954
70,9,0,954
71,0,2,981
71,0,2,981
71,0,2,981
71,0,2,981
71,0,2,981
72,3,3,990
72,3,3,990
72,3,3,990
72,3,3,990
72,3,3,990
73,9,0,999
73,9,0,999
73,9,0,999
73,9,0,999
73,9,0,999
74,0,3,1026
74,0,3,1026
74,0,3,1026
74,0,3,1026
74,0,3,1026
75,6,0,1026
75,6,0,1026
75,6,0,1026
75,6,0,1026
75,6,0,1026
76,9,0,1035
76,9,0,1035
76,9,0,1035
76,9,0,1035
76,9,0,1035
77,0,1,1071
77,0,1,1071
77,0,1,1071
77,0,1,1071
77,0,1,1071
78,3,2,1071
78,3,2,1071
78,3,2,1071
78,3,2,1071
78,3,2,1071
79,6,3,1080
79,6,3,1080
79,6,3,1080
79,6,3,1080
79,6,3,1080
80,0,0,1107
80,0,0,1107
80,0,0,1107
80,0,0,1107
80,0,0,1107
81,3,1,1116
81,3,1,1116
81,3,1,1116
81,3,1,1116
81,3,1,1116
82,6,2,1125
82,6,2,1125
82,6,2,1125
82,6,2,1125
82,6,2,1125
83,9,0,1143
83,9,0,1143
83,9,0,1143
83,9,0,1143
83,9,0,1143
84,0,3,1161
84,0,3,1161
84,0,3,1161
84,0,3,1161
84,0,3,1161
85,6,0,1161
85,6,0,1161
85,6,0,1161
85,6,0,1161
85,6,0,1161
86,9,0,1188
86,9,0,1188
86,9,0,1188
86,9,0,1188
86,9,0,1188
87,0,1,1206
87,0,1,1206
87,0,1,1206
87,0,1,1206
87,0,1,1206
88,3,2,1206
88,3,2,1206
88,3,2,1206
88,3,2,1206
88,3,2,1206
89,6,3,1233
89,6,3,1233
89,6,3,1233
89,6,3,1233
89,6,3,1233
90,0,0,1251
90,0,0,1251
90,0,0,1251
90,0,0,1251
90,0,0,1251
91,3,1,1251
91,3,1,1251
91,3,1,1251
91,3,1,1251
91,3,1,1251
92,6,2,1278
92,6,2,1278
92,6,2,1278
92,6,2,1278
92,6,2,1278
93,9,0,1278
93,9,0,1278
93,9,0,1278
93,9,0,1278
93,9,0,1278
94,0,3,1296
94,0,3,1296
94,0,3,1296
94,0,3,1296
94,0,3,1296
95,6,0,1314
95,6,0,1314
95,6,0,1314
95,6,0,1314
95,6,0,1314
96,9,0,1323
96,9,0,1323
96,9,0,1323
96,9,0,1323
96,9,0,1323
97,0,1,1341
97,0,1,1341
97,0,1,1341
97,0,1,1341
97,0,1,1341
98,3,2,1359
98,3,2,1359
98,3,2,1359
98,3,2,1359
98,3,2,1359
99,6,3,1368
99,6,3,1368
99,6,3,1368
99,6,3,1368
99,6,3,1368
100,0,0,1386
100,0,0,1386
100,0,0,1386
100,0,0,1386
100,0,0,1386
