1;0;5;0
2;0;10;0
3;10;4;0
4;10;9;0
5;20;3;0
6;20;8;0
7;0;1;30
8;0;6;30
9;10;0;30
10;10;5;30
11;10;10;30
12;20;4;30
13;20;9;30
14;0;1;60
15;0;6;60
16;10;0;60
17;10;5;60
18;10;10;60
19;20;4;60
20;20;9;60
21;0;1;90
22;0;6;90
23;10;0;90
24;10;5;90
25;10;10;90
26;20;4;90
27;20;9;90
28;0;1;120
29;0;6;120
30;10;0;120
31;10;5;120
32;10;10;120
33;20;4;120
34;20;9;120
35;0;1;150
36;0;6;150
37;10;0;150
38;10;5;150
39;10;10;150
40;20;4;150
41;20;9;150
42;0;1;180
43;0;6;180
44;10;0;180
45;10;5;180
46;10;10;180
47;20;4;180
48;20;9;180
49;0;1;210
50;0;6;210
51;10;0;210
52;10;5;210
53;10;10;210
54;20;4;210
55;20;9;210
56;0;1;240
57;0;6;240
58;10;0;240
59;10;5;240
60;10;10;240
61;20;4;240
62;20;9;240
63;0;1;270
64;0;6;270
65;10;0;270
66;10;5;270
67;10;10;270
68;20;4;270
69;20;9;270
70;0;1;300
71;0;6;300
72;10;0;300
73;10;5;300
74;10;10;300
75;20;4;300
76;20;9;300
77;0;1;330
78;0;6;330
79;10;0;330
80;10;5;330
81;10;10;330
82;20;4;330
83;20;9;330
84;0;1;360
85;0;6;360
86;10;0;360
87;10;5;360
88;10;10;360
89;20;4;360
90;20;9;360
91;0;1;390
92;0;6;390
93;10;0;390
94;10;5;390
95;10;10;390
96;20;4;390
97;20;9;390
98;0;1;420
99;0;6;420
100;10;0;420
